Proper OR,Proper MI,"Reduced (r,z)"
"(5, 7) × (11, 12)","(5, 7) × (11, 12)","(7, 12)"
"(1, 10) × (11, 12)","(5, 7) × (11, 12)","(7, 12)"
"(5, 8) × (13, 13)","(5, 7) × (13, 13)","(7, 13)"
"(1, 7) × (12, 13)","(5, 7) × (13, 13)","(7, 13)"
"(9, 13) × (14, 15)","(10, 11) × (14, 15)","(11, 15)"
"(8, 10) × (15, 15)","(9, 10) × (15, 15)","(10, 15)"
"(10, 11) × (14, 15)","(10, 11) × (14, 15)","(11, 15)"
"(10, 12) × (15, 16)","(10, 11) × (15, 16)","(11, 16)"
"(10, 14) × (15, 16)","(10, 11) × (15, 16)","(11, 16)"
"(1, 7) × (16, 16)","(1, 7) × (16, 16)","(7, 16)"
"(10, 11) × (15, 16)","(10, 11) × (15, 16)","(11, 16)"
"(10, 12) × (16, 17)","(10, 12) × (16, 17)","(12, 17)"
"(3, 7) × (17, 17)","(3, 7) × (17, 17)","(7, 17)"
"(9, 11) × (17, 18)","(9, 11) × (17, 18)","(11, 18)"
"(13, 14) × (17, 18)","(13, 14) × (17, 18)","(14, 18)"
"(13, 15) × (17, 18)","(13, 14) × (17, 18)","(14, 18)"
"(9, 12) × (17, 18)","(9, 11) × (17, 18)","(11, 18)"
"(13, 15) × (17, 18)","(13, 14) × (17, 18)","(14, 18)"
"(9, 11) × (17, 18)","(9, 11) × (17, 18)","(11, 18)"
"(7, 9) × (19, 19)","(7, 9) × (19, 19)","(9, 19)"
"(12, 13) × (20, 20)","(12, 13) × (20, 20)","(13, 20)"
"(13, 14) × (19, 20)","(13, 14) × (19, 20)","(14, 20)"
"(13, 14) × (20, 21)","(13, 14) × (20, 21)","(14, 21)"
"(13, 14) × (20, 21)","(13, 14) × (20, 21)","(14, 21)"
"(9, 12) × (22, 22)","(9, 12) × (22, 22)","(12, 22)"
"(10, 12) × (23, 23)","(10, 12) × (23, 23)","(12, 23)"
"(14, 15) × (23, 23)","(14, 15) × (23, 23)","(15, 23)"
